000004	XEROX CORPORATION
000014	Netronix
000024	Olicom
000034	NETWORK RESOURCES CORPORATION
000044	Castelle
000054	Schneider Electric
000064	Yokogawa Digital Computer Corp
000074	RICOH COMPANY LTD.
000084	Aquila (?), ADI Systems Inc.(?)
000094	Asante				MAC
0000A4	Acorn
0000B4	Edimax
0000C4	WATERS DIV. OF MILLIPORE
0000D4	Puredata
0000E4	Mips?
0000F4	Allied Telesis, Inc.
000104	DVICO Co., Ltd.
000114	KANDA TSUSHIN KOGYO CO., LTD.
000124	Acer Incorporated
000134	Selectron Systems AG
000144	EMC Corporation
000154	G3M Corporation
000164	Cisco Systems, Inc
000174	CyberOptics Corporation
000184	SIEB & MEYER AG
000194	Capital Equipment Corporation
0001A4	Microlink Corporation
0001B4	Wayport, Inc.
0001C4	NeoWave, Inc.
0001D4	Leisure Time, Inc.
0001E4	Sitera, Inc.
0001F4	Enterasys
000204	Novell
000214	Dtvro
000224	C-Cor
000234	Imperial Technology, Inc.
000244	SURECOM Technology Co.
000254	WorldGate
000264	AudioRamp.com
000274	Tommy Technologies Corp.
000284	AREVA T&D
000294	Tokyo Sokushin Co., Ltd.
0002A4	AddPac Technology Co., Ltd.
0002B4	Daphne
0002C4	Vector International BVBA
0002D4	PDA Peripherals, Inc.
0002E4	JC HYUN Systems, Inc.
0002F4	PCTEL, Inc.
000304	Pacific Broadband Communications
000314	Teleware Network Systems
000324	SANYO Consumer Electronics Co., Ltd.
000334	Newport Electronics
000344	Tietech.Co., Ltd.
000354	Fiber Logic Communications
000364	Scenix Semiconductor, Inc.
000374	Control Microsystems
000384	Aeta
000394	Connect One
0003A4	Imation Corp.
0003B4	Macrotek International Corp.
0003C4	Tomra Systems ASA
0003D4	Alloptic, Inc.
0003E4	Cisco Systems, Inc
0003F4	NetBurner
000404	Makino Milling Machine Co., Ltd.
000414	Umezawa Musen Denki Co., Ltd.
000424	TMC s.r.l.
000434	Accelent Systems, Inc.
000444	Western Multiplex Corporation
000454	Quadriga UK
000464	Pulse-Link Inc
000474	Legrand
000484	Amann GmbH
000494	Breezecom, Ltd.
0004A4	NetEnabled, Inc.
0004B4	Ciac
0004C4	Allen & Heath Limited
0004D4	Proview Electronics Co., Ltd.
0004E4	Daeryung Ind., Inc.
0004F4	Infinite Electronics Inc.
000504	Naray Information & Communication Enterprise
000514	KDT Systems Co., Ltd.
000524	BTL System (HK) Limited
000534	Northstar Engineering Ltd.
000544	Valley Technologies, Inc.
000554	Rangestar Wireless
000564	Tsinghua Bitway Co., Ltd.
000574	Cisco Systems, Inc
000584	AbsoluteValue Systems, Inc.
000594	HMS Industrial Networks
0005A4	Lucid Voice Ltd.
0005B4	Aceex Corporation
0005C4	Telect, Inc.
0005D4	FutureSmart Networks, Inc.
0005E4	Red Lion Controls Inc.
0005F4	System Base Co., Ltd.
