000008	XEROX CORPORATION
000018	Webster Computer Corporation	Appletalk/Ethernet Gateway
000028	PRODIGY SYSTEMS CORPORATION
000038	CSS LABS
000048	Epson
000058	Racore Computer Products Inc
000068	Rosemount Controls
000078	Labtam Australia
000088	Brocade Communications Systems, Inc.
000098	Cross Com
0000A8	Stratus Computer, Inc.
0000B8	SEIKOSHA CO., LTD.
0000C8	Altos
0000D8	old Novell NE1000's (before about 1987?) (also 3Com)
0000E8	Accton Technology Corporation
0000F8	Dec
000108	AVLAB Technology, Inc.
000118	EZ Digital Co., Ltd.
000128	EnjoyWeb, Inc.
000138	XAVi Technologies Corp.
000148	X-traWeb Inc.
000158	Electro Industries/Gauge Tech
000168	W&G (Wandel & Goltermann)	[incorrect according to W&G]
000178	MARGI Systems, Inc.
000188	LXCO Technologies ag
000198	Darim Vision
0001A8	Welltech Computer Co., Ltd.
0001B8	Netsensity, Inc.
0001C8	Thomas Conrad Corp.
0001D8	Teltronics, Inc.
0001E8	Force10 Networks, Inc.
0001F8	TEXIO TECHNOLOGY CORPORATION
000208	Unify Networks, Inc.
000218	Advanced Scientific Corp
000228	Necsom, Ltd.
000238	Serome Technology, Inc.
000248	Pilz GmbH & Co.
000258	Flying Packets Communications
000268	Harris Government Communications
000278	SAMSUNG ELECTRO MECHANICS CO., LTD.
000288	Global Village (PCcard in Mac portable)
000298	Broadframe Corporation
0002A8	Air Link Technology
0002B8	WHI KONSULT AB
0002C8	Technocom Communications Technology (pte) Ltd
0002D8	BRECIS Communications Corporation
0002E8	E.D.&A.
0002F8	SEAKR Engineering, Inc.
000308	AM Communications, Inc.
000318	Cyras Systems, Inc.
000328	Mace Group, Inc.
000338	Oak Technology
000348	Norscan Instruments, Ltd.
000358	Hanyang Digitech Co.Ltd
000368	Embedone Co., Ltd.
000378	HUMAX Co., Ltd.
000388	Fastfame Technology Co., Ltd.
000398	Wisi
0003A8	IDOT Computers, Inc.
0003B8	NetKit Solutions, LLC
0003C8	CML Emergency Services
0003D8	iMPath Networks, Inc.
0003E8	Wavelength Digital Limited
0003F8	SanCastle Technologies, Inc.
000408	Sanko Electronics Co., Ltd.
000418	Teltronic S.A.U.
000428	Cisco Systems, Inc
000438	Nortel Networks
000448	Polaroid Corporation
000458	Fusion X Co., Ltd.
000468	Vivity, Inc.
000478	G. Star Technology Corporation
000488	Eurotherm Controls
000498	Mahi Networks
0004A8	Broadmax Technologies, Inc.
0004B8	Kumahira Co., Ltd.
0004C8	LIBA Maschinenfabrik GmbH
0004D8	IPWireless, Inc.
0004E8	IER, Inc.
0004F8	QUALICABLE TV Industria E Com., Ltda
000508	Inetcam, Inc.
000518	Jupiters Technology
000528	New Focus, Inc.
000538	Merilus, Inc.
000548	Disco Corporation
000558	Synchronous, Inc.
000568	Piltofish Networks AB
000578	Private
000588	Sensoria Corp.
000598	CRONOS S.r.l.
0005A8	PowerComputing			Mac clones
0005B8	Electronic Design Associates, Inc.
0005C8	Verytech
0005D8	Arescom, Inc.
0005E8	TurboWave, Inc.
0005F8	Real Time Access, Inc.
000608	At-Sky SAS
000618	DigiPower Manufacturing Inc.
000628	Cisco Systems, Inc
000638	Sungjin C&C Co., Ltd.
000648	Seedsware, Inc.
000658	Helmut Fischer GmbH Institut für Elektronik und Messtechnik
000668	Vicon Industries Inc.
000678	D&M Holdings Inc.
000688	Telways Communication Co., Ltd.
000698	egnite GmbH
0006A8	KC Technology, Inc.
0006B8	Bandspeed Pty Ltd
0006C8	Sumitomo Metal Micro Devices, Inc.
0006D8	Maple Optical Systems
0006E8	Optical Network Testing, Inc.
0006F8	The Boeing Company
000708	Bitrage Inc.
000718	iCanTek Co., Ltd.
000728	Neo Telecom
000738	Young Technology Co., Ltd.
000748	The Imaging Source Europe
000758	Dragonwave
000768	Danfoss A/S
000778	GERSTEL GmbH & Co. KG
000788	Clipcomm, Inc.
000798	Selea SRL
0007A8	Haier Group Technologies Ltd.
0007B8	Corvalent Corporation
0007C8	Brain21, Inc.
0007D8	Hitron Technologies. Inc
0007E8	Edgewave
0007F8	ITDevices, Inc.
000808	PPT Vision, Inc.
000818	Pixelworks, Inc.
000828	Koei Engineering Ltd.
000858	Novatechnology Inc.
000868	Puroptix
000878	Benchmark Storage Innovations
000888	OULLIM Information Technology Inc,.
000898	Gigabit Optics Corporation
0008A8	Systec Co., Ltd.
0008B8	E.F. Johnson
0008C8	Soneticom, Inc.
0008D8	Dowkey Microwave
0008E8	Excel Master Ltd.
0008F8	UTC CCS
000908	VTech Technology Corp.
000918	SAMSUNG TECHWIN CO.,LTD
000928	Telecore
000938	Allot Communications
000948	Vista Control Systems, Corp.
000958	INTELNET S.A.
000968	TECHNOVENTURE, INC.
000978	AIJI System Co., Ltd.
000988	Nudian Electron Co., Ltd.
000998	Capinfo Company Limited
0009A8	Eastmode Pte Ltd
0009B8	Entise Systems
0009C8	SINAGAWA TSUSHIN KEISOU SERVICE
0009D8	Fält Communications AB
0009E8	Cisco Systems, Inc
0009F8	UNIMO TECHNOLOGY CO., LTD.
000A08	Alpine Electronics, Inc.
000A18	Vichel Inc.
000A28	Motorola
000A38	Apani Networks
000A48	Albatron Technology
000A58	Freyer & Siegel Elektronik GmbH & Co. KG
000A68	Solarflare Communications Inc
000A78	Olitec
000A88	InCypher S.A.
000A98	M+F Gwinner GmbH & Co
000AA8	ePipe Pty. Ltd.
000AB8	Cisco Systems, Inc
000AC8	ZPSYS CO.,LTD. (Planning&Management)
000AD8	IPCserv Technology Corp.
000AE8	Cathay Roxus Information Technology Co. LTD
000AF8	American Telecare Inc.
000B08	Pillar Data Systems
000B18	Private
