000006	XEROX CORPORATION
000016	DU PONT PIXEL SYSTEMS     .
000026	SHA-KEN CO., LTD.
000036	ATARI CORPORATION
000046	ISC-BR
000056	DR. B. STRUCK
000066	Talaris
000076	ABEKAS VIDEO SYSTEM
000086	Gateway Communications Inc. (then Megahertz & now 3com)
000096	MARCONI ELECTRONICS LTD.
0000A6	Network General (internal assignment, not for products)
0000B6	Micro-matic Research
0000C6	HP Intelligent Networks Operation (formerly Eon Systems)
0000D6	PUNCH LINE HOLDING
0000E6	Aptor Produits De Comm Indust
0000F6	Madge
000106	Tews Datentechnik GmbH
000116	Netspect Technologies, Inc.
000126	PAC Labs
000136	CyberTAN Technology Inc.
000146	Tesco Controls, Inc.
000156	FIREWIREDIRECT.COM, INC.
000166	TC GROUP A/S
000176	Orient Silver Enterprises
000186	Uwe Disch
000196	Cisco Systems, Inc
0001A6	Scientific-Atlanta Arcodan A/S
0001B6	SaejinT&               # SAEJIN T&M Co., Ltd.
0001C6	Quarry Technologies
0001D6	manroland AG
0001E6	Hewlett Packard
0001F6	Association of Musical Electronics Industry
000206	Telital R&D Denmark A/S
000216	ESI (Extended Systems, Inc)	print servers
000226	XESystems, Inc.
000236	INIT GmbH
000246	All-Win Tech Co., Ltd.
000256	Alpha Processor, Inc.
000266	Thermalogic Corporation
000276	Primax Electronics Ltd.
000286	Occam Networks
000296	Lectron Co,. Ltd.
0002A6	Effinet Systems Co., Ltd.
0002B6	Acrosser Technology Co., Ltd.
0002C6	Data Track Technology PLC
0002D6	NICE Systems
0002E6	Gould Instrument Systems, Inc.
0002F6	Equipe Communications
000306	Fusion In Tech Co., Ltd.
000316	Nobell Communications, Inc.
000326	Iwasaki Information Systems Co., Ltd.
000336	Zetes Technologies
000346	Hitachi Kokusai Electric, Inc.
000356	Wincor Nixdorf International GmbH
000366	ASM Pacific Technology
000376	Graphtec Technology, Inc.
000386	Ho Net, Inc.
000396	EZ Cast Co., Ltd.
0003A6	Traxit Technology, Inc.
0003B6	QSI Corporation
0003C6	Morning Star Technologies Inc
0003D6	RADVision, Ltd.
0003E6	Entone, Inc.
0003F6	Allegro Networks, Inc.
000406	Fa. Metabox AG
000416	Parks S/A Comunicacoes Digitais
000426	Autosys
000436	ELANsat Technologies, Inc.
000446	CYZENTECH Co., Ltd.
000456	Cambium Networks Limited
000466	ARMITEL Co.
000476	3 Com Corporation
000486	ITTC, University of Kansas
000496	Extreme Networks
0004A6	SAF Tehnika Ltd.
0004B6	Stratex Networks, Inc.
0004C6	YAMAHA MOTOR CO.,LTD
0004D6	Takagi Industrial Co., Ltd.
0004E6	Banyan Network Private Limited
0004F6	Amphus
000506	Reddo Networks AB
000516	SMART Modular Technologies
000526	IPAS GmbH
000536	Danam Communications, Inc.
000546	KDDI Network & Solultions Inc.
000556	360 Systems
000566	Secui.com Corporation
000576	NSM Technology Ltd.
000586	Lucent Technologies
000596	Genotech Co., Ltd.
0005A6	Extron Electronics
0005B6	INSYS Microelectronics GmbH
0005C6	Triz Communications
0005D6	L-3 Linkabit
0005E6	Egenera, Inc.
0005F6	Young Chang Co. Ltd.
000606	RapidWAN, Inc.
000616	Tel Net Co., Ltd.
000626	MWE GmbH
000636	Jedai Broadband Networks
000646	ShenZhen XunBao Network Technology Co Ltd
000656	Tactel AB
000666	Roving Networks
000676	Novra Technologies Inc.
