000005	XEROX CORPORATION
000015	Datapoint Corporation
000025	RAMTEK CORP.
000035	SPECTRAGRAPHICS CORPORATION
000045	FORD AEROSPACE & COMM. CORP.
000055	AT&T
000065	Network General
000075	Bell Northern Research (BNR)
000085	CANON INC.
000095	Sony/Tektronix
0000A5	CSC
0000B5	Datability			Terminal Servers
0000C5	Farallon Computing Inc
0000D5	MICROGNOSIS INTERNATIONAL
0000E5	SIGMEX LTD.
0000F5	DIAMOND SALES LIMITED
000105	Beckhoff Automation GmbH
000115	EXTRATECH CORPORATION
000125	YAESU MUSEN CO., LTD.
000135	KDC Corp.
000145	WINSYSTEMS, INC.
000155	Promise Technology, Inc.
000165	AirSwitch Corporation
000175	Radiant Communications Corp.
000185	Hitachi Aloka Medical, Ltd.
000195	Sena Technologies, Inc.
0001A5	Nextcomm, Inc.
0001B5	Turin Networks, Inc.
0001C5	Simpler Networks
0001D5	HAEDONG INFO & COMM CO., LTD
0001E5	Supernet, Inc.
0001F5	ERIM S.A.
000205	Hamilton (Sparc Clones)
000215	Cotas Computer Technology A/B
000225	One Stop Systems
000235	Paragon Networks International
000245	Lampus Co, Ltd.
000255	IBM Corp
000265	Virditech Co. Ltd.
000275	SMART Technologies, Inc.
000285	Riverstone Networks
000295	IP.Access Limited
0002A5	Hewlett Packard
0002B5	Avnet, Inc.
0002C5	Evertz Microsystems Ltd.
0002D5	Acr
0002E5	Timeware Ltd.
0002F5	VIVE Synergies, Inc.
000305	MSC Vertriebs GmbH
000315	Cidco Incorporated
000325	Arima Computer Corp.
000335	Mirae Technology
000345	Routrek Networks Corporation
000355	TeraBeam Internet Systems
000365	Kira Information & Communications, Ltd.
000375	NetMedia, Inc.
000385	Actelis Networks, Inc.
000395	California Amplifier
0003A5	Medea Corporation
0003B5	Entra Technology Co.
0003C5	Mobotix AG
0003D5	Advanced Communications Co., Ltd.
0003E5	Hermstedt SG
0003F5	Chip2Chip
000405	ACN Technologies
000415	Rasteme Systems Co., Ltd.
000425	Atmel Corporation
000435	InfiNet LLC
000445	LMS Skalar Instruments GmbH
000455	ANTARA.net
000465	ISTIsdn-               # i.s.t isdn-support technik GmbH
000475	3 Com Corporation
000485	PicoLight
000495	Tejas Networks India Limited
0004A5	Barco Projection Systems NV
0004B5	Equitrac Corporation
0004C5	ASE Technologies, USA
0004D5	Hitachi Information & Communication Engineering, Ltd.
0004E5	Glonet Systems, Inc.
0004F5	SnowShore Networks, Inc.
000505	Systems Integration Solutions, Inc.
000515	Nuark Co., Ltd.
000525	Puretek Industrial Co., Ltd.
000535	Chip PC Ltd.
000545	Internet Photonics
000555	Japan Cash Machine Co., Ltd.
000565	Tailyn Communication Company Ltd.
000575	CDS-Electronics BV
000585	Juniper Networks
000595	Alesis Corporation
0005A5	Kott
0005B5	Broadcom Technologies
0005C5	Flaga HF
0005D5	Speedcom Wireless
0005E5	Renishaw PLC
0005F5	Geospace Technologies
000605	Inncom International, Inc.
000615	Kimoto Electric Co., Ltd.
000625	The Linksys Group, Inc.
000635	PacketAir Networks, Inc.
000645	Meisei Electric Co. Ltd.
000655	Yipee, Inc.
000665	Sunny Giken, Inc.
000675	Banderacom, Inc.
000685	NetNearU Corporation
000695	Ensure Technologies, Inc.
0006A5	PINON Corp.
0006B5	Source Photonics, Inc.
0006C5	INNOVI Technologies Limited
0006D5	Diamond Systems Corp.
0006E5	Fujian Newland Computer Ltd. Co.
0006F5	ALPS ELECTRIC CO.,LTD.
000705	Endress & Hauser GmbH & Co
000715	General Research of Electronics, Inc.
000725	Bematech International Corp.
000735	Flarion Technologies, Inc.
000745	Radlan Computer Communications Ltd.
000755	Lafon
000765	Jade Quantum Technologies, Inc.
000775	Valence Semiconductor, Inc.
000785	Cisco Systems, Inc
000795	Elitegroup Computer Systems Co.,Ltd.
0007A5	Y.D.K Co. Ltd.
0007B5	Any One Wireless Ltd.
0007C5	Gcom, Inc.
0007D5	3e Technologies Int;., Inc.
0007E5	Coup Corporation
0007F5	Bridgeco Co AG
000805	Techno-Holon Corporation
000815	CATS Co., Ltd.
000825	Acme Packet
000855	Fermilab
000865	JASCOM CO., LTD
000875	Acorp Electronics Corp.
000885	EMS Dr. Thomas Wünsche
000895	DIRC Technologie GmbH & Co.KG
0008A5	Peninsula Systems Inc.
0008B5	TAI GUEN ENTERPRISE CO., LTD
0008C5	Liontech Co., Ltd.
0008D5	Vanguard Networks Solutions, LLC
0008E5	IDK Corporation
0008F5	YESTECHNOLOGY Co.,Ltd.
